min,avg,max
16,21,34
17,21,30
17,27,40
16,20,29
3,23,51
16,24,31
17,25,37
20,26,42
17,23,31
16,22,32
21,30,50
18,24,33
16,23,35
19,28,36
8,20,26
17,19,22
18,28,53
22,33,54
17,22,28
16,24,35
18,21,32
16,23,32
16,25,33
13,23,50
18,23,36
12,21,27
19,28,49
17,24,38
16,27,39
21,34,53
17,24,38
18,23,35
25,36,50
10,26,39
10,20,25
16,22,31
16,21,27
16,27,45
12,28,51
16,29,46
16,22,35
16,25,35
22,25,35
16,18,34
16,27,49
18,30,44
16,28,35
18,30,48
8,31,62
23,33,49
20,28,41
16,32,55
24,37,52
16,20,33
28,33,41
14,29,42
22,27,36
19,34,59
20,26,36
25,32,43
16,31,45
19,35,53
20,32,48
17,23,36
18,27,44
23,38,61
16,30,63
17,30,53
19,34,57
18,24,42
23,30,42
18,23,31
21,33,50
21,27,39
21,30,43
31,51,82
23,35,56
20,32,66
21,28,44
20,34,73
18,30,46
21,31,43
16,37,57
23,34,49
21,42,55
39,46,59
21,39,59
16,37,58
19,28,43
28,41,56
18,33,81
16,24,42
14,34,64
27,38,52
22,41,71
19,37,52
21,38,57
26,41,59
20,37,56
19,40,68
27,43,72
24,44,64
21,36,77
26,40,54
27,49,86
16,43,75
16,26,41
14,37,57
26,40,56
26,38,62
16,32,57
25,38,47
40,47,60
16,30,64
16,41,76
16,48,76
16,40,68
16,36,59
20,42,72
31,59,96
23,48,92
18,31,55
21,34,48
32,49,82
33,50,98
48,65,84
27,48,64
27,44,63
31,46,62
24,47,75
20,54,77
27,53,90
20,51,72
26,43,70
28,50,100
19,33,74
19,42,84
21,43,66
27,45,108
16,46,76
22,58,89
16,49,105
33,61,87
16,38,62
38,55,77
16,39,63
28,59,80
16,19,28
35,59,90
24,50,81
23,42,67
16,32,87
27,55,83
16,41,72
21,37,61
22,48,75
18,40,73
27,57,76
22,57,115
16,50,77
27,53,78
16,32,64
16,42,70
16,37,70
16,58,92
25,53,76
37,60,84
29,48,64
21,43,93
27,51,81
29,49,90
31,51,71
25,61,82
16,47,68
18,49,89
21,42,57
16,48,100
30,55,84
16,36,74
26,42,52
19,52,78
23,53,78
29,55,78
24,55,96
21,47,70
33,68,95
28,55,82
32,55,80
21,38,65
16,32,58
16,54,95
23,47,72
33,68,87
25,47,63
16,46,99
40,59,79
16,48,97
22,49,73
21,57,97
19,52,92
26,42,57
34,57,83
16,34,79
25,50,78
21,46,70
23,45,69
18,52,90
19,49,85
49,64,89
16,50,71
22,54,94
19,49,78
30,48,72
16,46,78
16,30,71
16,35,75
16,25,53
18,43,82
17,22,33
40,69,90
22,45,63
16,37,57
16,36,62
21,69,113
26,50,89
27,53,93
30,53,110
36,61,113
20,48,69
39,55,79
21,52,102
16,42,71
16,45,76
18,36,86
16,45,66
19,48,95
16,47,80
18,52,96
19,43,78
30,57,88
22,52,85
41,56,76
28,53,76
26,43,82
16,48,83
26,59,94
31,61,85
32,50,65
16,64,128
35,65,91
25,58,121
22,53,100
28,60,91
16,57,96
31,48,85
30,64,92
61,77,93
22,53,72
19,45,67
27,50,84
23,50,88
16,51,80
28,53,104
18,48,78
20,49,100
19,37,55
30,50,71
19,58,126
21,35,59
42,61,78
18,43,75
33,54,88
21,60,98
16,48,79
31,56,110
25,57,94
33,61,77
19,56,89
30,61,90
29,56,113
16,60,117
23,43,65
17,46,72
20,40,59
42,59,84
23,52,81
22,38,62
16,44,69
19,38,65
25,46,77
25,52,102
46,60,94
22,55,91
22,67,121
44,61,119
26,48,77
25,52,77
23,77,119
40,68,99
31,57,72
28,50,82
16,31,68
22,53,74
16,36,73
23,61,109
16,35,81
30,61,84
28,64,89
45,55,74
52,73,94
34,57,83
41,62,91
45,69,94
29,59,83
16,31,54
29,53,73
34,85,152
42,63,96
33,50,63
20,55,97
24,65,100
42,68,84
35,69,118
24,44,64
29,50,100
16,59,108
16,51,94
21,57,89
16,69,98
18,42,91
17,34,69
16,47,95
23,50,96
16,59,95
16,57,87
16,31,75
19,37,83
37,67,103
24,63,113
16,31,61
22,52,105
29,55,88
30,51,99
34,73,101
23,44,116
16,50,76
23,58,106
16,48,81
18,51,100
18,54,83
24,53,85
24,64,99
20,48,68
16,36,87
16,48,90
47,68,99
21,50,89
36,52,78
28,49,79
34,65,93
28,69,88
33,58,94
17,46,86
22,58,99
16,47,96
29,62,102
40,68,110
16,39,80
26,68,105
16,18,29
23,53,127
21,35,103
16,56,104
23,43,85
22,54,91
51,67,99
16,36,57
42,69,96
30,83,129
34,52,74
16,55,88
34,74,109
