Iteration = 62000 | Total steps: 19-35-53 | Min: 0.45 | Avg: 2.20 | Max: 3.40
Iteration = 63000 | Total steps: 20-32-48 | Min: 0.32 | Avg: 2.61 | Max: 5.16
Iteration = 64000 | Total steps: 17-23-36 | Min: 0.35 | Avg: 1.09 | Max: 3.43
Iteration = 65000 | Total steps: 18-27-44 | Min: 0.21 | Avg: 1.52 | Max: 5.04
Iteration = 66000 | Total steps: 23-38-61 | Min: 0.82 | Avg: 2.79 | Max: 5.62
Iteration = 67000 | Total steps: 16-30-63 | Min: 0.10 | Avg: 2.44 | Max: 7.88
Iteration = 68000 | Total steps: 17-30-53 | Min: 0.15 | Avg: 1.75 | Max: 4.07
Iteration = 69000 | Total steps: 19-34-57 | Min: 0.17 | Avg: 2.69 | Max: 5.64
Iteration = 70000 | Total steps: 18-24-42 | Min: 0.36 | Avg: 1.25 | Max: 2.76
Iteration = 71000 | Total steps: 23-30-42 | Min: 0.28 | Avg: 2.37 | Max: 3.86
Iteration = 72000 | Total steps: 18-23-31 | Min: 0.28 | Avg: 1.38 | Max: 3.05
Iteration = 73000 | Total steps: 21-33-50 | Min: 0.61 | Avg: 2.26 | Max: 3.59
Iteration = 74000 | Total steps: 21-27-39 | Min: 0.24 | Avg: 2.71 | Max: 11.65
Iteration = 75000 | Total steps: 21-30-43 | Min: 0.43 | Avg: 1.90 | Max: 3.88
Iteration = 76000 | Total steps: 31-51-82 | Min: 1.59 | Avg: 5.45 | Max: 13.67 [CHECK POINT]
Iteration = 77000 | Total steps: 23-35-56 | Min: 0.23 | Avg: 3.24 | Max: 7.15
Iteration = 78000 | Total steps: 20-32-66 | Min: 0.38 | Avg: 2.22 | Max: 6.64
Iteration = 79000 | Total steps: 21-28-44 | Min: 0.54 | Avg: 1.90 | Max: 3.75
Iteration = 80000 | Total steps: 20-34-73 | Min: 0.63 | Avg: 2.17 | Max: 6.46
Iteration = 81000 | Total steps: 18-30-46 | Min: 0.21 | Avg: 7.89 | Max: 64.30 [CHECK POINT]
Iteration = 82000 | Total steps: 21-31-43 | Min: 0.79 | Avg: 2.46 | Max: 5.24
Iteration = 83000 | Total steps: 16-37-57 | Min: 0.10 | Avg: 3.15 | Max: 6.42
Iteration = 84000 | Total steps: 23-34-49 | Min: 0.50 | Avg: 4.02 | Max: 15.21
Iteration = 85000 | Total steps: 21-42-55 | Min: 1.02 | Avg: 4.73 | Max: 18.34
Iteration = 86000 | Total steps: 39-46-59 | Min: 3.68 | Avg: 5.26 | Max: 9.40
Iteration = 87000 | Total steps: 21-39-59 | Min: 0.23 | Avg: 3.58 | Max: 7.48
Iteration = 88000 | Total steps: 16-37-58 | Min: 0.10 | Avg: 2.53 | Max: 5.89
Iteration = 89000 | Total steps: 19-28-43 | Min: 0.20 | Avg: 1.73 | Max: 4.27
Iteration = 90000 | Total steps: 28-41-56 | Min: 1.49 | Avg: 3.38 | Max: 5.85
Iteration = 91000 | Total steps: 18-33-81 | Min: 0.23 | Avg: 2.24 | Max: 6.37
Iteration = 92000 | Total steps: 16-24-42 | Min: 0.10 | Avg: 1.29 | Max: 3.12
Iteration = 93000 | Total steps: 14-34-64 | Min: 0.66 | Avg: 3.18 | Max: 5.96
Iteration = 94000 | Total steps: 27-38-52 | Min: 0.88 | Avg: 4.71 | Max: 19.49
Iteration = 95000 | Total steps: 22-41-71 | Min: 0.71 | Avg: 3.81 | Max: 7.80
Iteration = 96000 | Total steps: 19-37-52 | Min: 0.25 | Avg: 3.66 | Max: 7.94
Iteration = 97000 | Total steps: 21-38-57 | Min: 0.43 | Avg: 3.36 | Max: 7.84
Iteration = 98000 | Total steps: 26-41-59 | Min: 0.64 | Avg: 3.27 | Max: 6.43
Iteration = 99000 | Total steps: 20-37-56 | Min: 0.18 | Avg: 4.08 | Max: 18.51
Iteration = 100000 | Total steps: 19-40-68 | Min: 0.20 | Avg: 3.16 | Max: 6.99
