Iteration = 1000 | Total steps: 8-15-21 | Min: 0.00 | Avg: 0.15 | Max: 0.80
Iteration = 2000 | Total steps: 6-19-36 | Min: 0.00 | Avg: 0.43 | Max: 2.10
Iteration = 3000 | Total steps: 16-19-25 | Min: 0.00 | Avg: 0.35 | Max: 1.40
Iteration = 4000 | Total steps: 16-17-21 | Min: 0.00 | Avg: 0.15 | Max: 1.20
Iteration = 5000 | Total steps: 16-21-34 | Min: 0.00 | Avg: 0.78 | Max: 2.50 [CHECK POINT]
Iteration = 6000 | Total steps: 16-17-23 | Min: 0.00 | Avg: 0.24 | Max: 2.00
Iteration = 7000 | Total steps: 16-18-28 | Min: 0.00 | Avg: 0.35 | Max: 2.00
Iteration = 8000 | Total steps: 4-17-26 | Min: 0.00 | Avg: 0.61 | Max: 1.60
Iteration = 9000 | Total steps: 17-22-30 | Min: 0.00 | Avg: 0.88 | Max: 2.00 [CHECK POINT]
Iteration = 10000 | Total steps: 18-20-33 | Min: 0.00 | Avg: 0.91 | Max: 1.90 [CHECK POINT]
Iteration = 11000 | Total steps: 17-20-24 | Min: 0.30 | Avg: 0.69 | Max: 1.40
Iteration = 12000 | Total steps: 16-16-18 | Min: 0.00 | Avg: 0.17 | Max: 0.60
Iteration = 13000 | Total steps: 14-21-31 | Min: 0.00 | Avg: 1.01 | Max: 2.90 [CHECK POINT]
Iteration = 14000 | Total steps: 3-17-29 | Min: 0.00 | Avg: 0.87 | Max: 1.80
Iteration = 15000 | Total steps: 20-23-30 | Min: 0.00 | Avg: 1.25 | Max: 2.50 [CHECK POINT]
Iteration = 16000 | Total steps: 8-25-35 | Min: 0.00 | Avg: 1.46 | Max: 3.10 [CHECK POINT]
Iteration = 17000 | Total steps: 18-21-29 | Min: 0.00 | Avg: 1.01 | Max: 2.90
Iteration = 18000 | Total steps: 16-16-20 | Min: 0.00 | Avg: 0.20 | Max: 1.00
Iteration = 19000 | Total steps: 17-19-21 | Min: 0.00 | Avg: 0.47 | Max: 1.60
Iteration = 20000 | Total steps: 8-20-30 | Min: 0.20 | Avg: 1.33 | Max: 3.00
Iteration = 21000 | Total steps: 17-21-28 | Min: 0.20 | Avg: 0.96 | Max: 2.50
Iteration = 22000 | Total steps: 16-19-24 | Min: 0.00 | Avg: 0.86 | Max: 2.10
Iteration = 23000 | Total steps: 8-19-25 | Min: 0.30 | Avg: 1.15 | Max: 2.30
Iteration = 24000 | Total steps: 7-22-33 | Min: 0.00 | Avg: 1.22 | Max: 3.00
Iteration = 25000 | Total steps: 3-20-32 | Min: 0.00 | Avg: 1.34 | Max: 2.70
Iteration = 26000 | Total steps: 18-24-42 | Min: 0.00 | Avg: 1.51 | Max: 4.40 [CHECK POINT]
Iteration = 27000 | Total steps: 16-25-33 | Min: 0.00 | Avg: 2.96 | Max: 15.80 [CHECK POINT]
Iteration = 28000 | Total steps: 16-22-36 | Min: 0.00 | Avg: 2.11 | Max: 14.00
Iteration = 29000 | Total steps: 18-23-30 | Min: 0.00 | Avg: 1.07 | Max: 2.60
Iteration = 30000 | Total steps: 16-24-30 | Min: 0.00 | Avg: 1.50 | Max: 3.30
Iteration = 31000 | Total steps: 16-23-31 | Min: 0.00 | Avg: 2.84 | Max: 14.30
Iteration = 32000 | Total steps: 19-24-31 | Min: 0.30 | Avg: 2.61 | Max: 15.40
Iteration = 33000 | Total steps: 3-18-29 | Min: 0.00 | Avg: 1.06 | Max: 2.70
Iteration = 34000 | Total steps: 17-21-27 | Min: 0.00 | Avg: 0.40 | Max: 1.40
Iteration = 35000 | Total steps: 17-29-43 | Min: 0.40 | Avg: 1.97 | Max: 4.00
Iteration = 36000 | Total steps: 13-24-39 | Min: 0.50 | Avg: 2.44 | Max: 4.90
Iteration = 37000 | Total steps: 19-29-41 | Min: 0.80 | Avg: 3.98 | Max: 15.00 [CHECK POINT]
Iteration = 38000 | Total steps: 16-24-33 | Min: 0.00 | Avg: 0.85 | Max: 2.30
Iteration = 39000 | Total steps: 18-34-49 | Min: 0.60 | Avg: 2.93 | Max: 4.80
Iteration = 40000 | Total steps: 4-26-34 | Min: 0.00 | Avg: 2.13 | Max: 4.50
Iteration = 41000 | Total steps: 16-26-44 | Min: 0.00 | Avg: 3.29 | Max: 14.80
Iteration = 42000 | Total steps: 9-31-52 | Min: 2.10 | Avg: 3.14 | Max: 5.60
Iteration = 43000 | Total steps: 5-23-55 | Min: 0.00 | Avg: 2.18 | Max: 6.10
Iteration = 44000 | Total steps: 16-24-33 | Min: 0.00 | Avg: 1.83 | Max: 3.40
Iteration = 45000 | Total steps: 16-31-44 | Min: 0.00 | Avg: 2.86 | Max: 6.00
Iteration = 46000 | Total steps: 16-38-58 | Min: 0.00 | Avg: 6.72 | Max: 19.50 [CHECK POINT]
Iteration = 47000 | Total steps: 23-39-53 | Min: 1.50 | Avg: 5.90 | Max: 18.00
Iteration = 48000 | Total steps: 22-37-64 | Min: 0.70 | Avg: 4.40 | Max: 16.70
Iteration = 49000 | Total steps: 22-32-44 | Min: 1.10 | Avg: 2.55 | Max: 3.90
Iteration = 50000 | Total steps: 16-34-53 | Min: 0.00 | Avg: 4.20 | Max: 19.20
Iteration = 51000 | Total steps: 16-32-57 | Min: 0.00 | Avg: 2.88 | Max: 7.40
Iteration = 52000 | Total steps: 18-35-55 | Min: 0.00 | Avg: 3.46 | Max: 6.40
Iteration = 53000 | Total steps: 16-26-42 | Min: 0.00 | Avg: 1.72 | Max: 4.30
Iteration = 54000 | Total steps: 22-30-42 | Min: 1.00 | Avg: 2.12 | Max: 3.40
Iteration = 55000 | Total steps: 16-27-47 | Min: 0.00 | Avg: 2.07 | Max: 6.20
Iteration = 56000 | Total steps: 16-24-41 | Min: 0.00 | Avg: 1.47 | Max: 3.80
Iteration = 57000 | Total steps: 16-25-46 | Min: 0.00 | Avg: 2.96 | Max: 19.40
Iteration = 58000 | Total steps: 19-31-50 | Min: 0.20 | Avg: 2.94 | Max: 8.20
Iteration = 59000 | Total steps: 24-35-43 | Min: 0.80 | Avg: 3.05 | Max: 5.80
