Iteration = 64000 | Total steps: 12-22-36 | Min: 0.19 | Avg: 1.23 | Max: 1.77
Iteration = 65000 | Total steps: 17-28-40 | Min: 0.49 | Avg: 1.33 | Max: 2.56
Iteration = 66000 | Total steps: 18-24-33 | Min: 0.16 | Avg: 0.57 | Max: 1.18
Iteration = 67000 | Total steps: 16-20-29 | Min: 0.10 | Avg: 0.38 | Max: 1.14
Iteration = 68000 | Total steps: 10-24-46 | Min: 0.35 | Avg: 1.94 | Max: 5.80 [CHECK POINT]
Iteration = 69000 | Total steps: 17-25-40 | Min: 0.15 | Avg: 0.90 | Max: 2.10
Iteration = 70000 | Total steps: 14-19-30 | Min: 0.15 | Avg: 0.58 | Max: 1.39
Iteration = 71000 | Total steps: 16-16-22 | Min: 0.10 | Avg: 0.30 | Max: 1.10
Iteration = 72000 | Total steps: 11-23-30 | Min: 0.15 | Avg: 1.20 | Max: 2.36
Iteration = 73000 | Total steps: 16-18-21 | Min: 0.10 | Avg: 0.17 | Max: 0.39
Iteration = 74000 | Total steps: 4-16-27 | Min: 0.14 | Avg: 0.82 | Max: 1.73
Iteration = 75000 | Total steps: 16-18-21 | Min: 0.10 | Avg: 0.19 | Max: 0.73
Iteration = 76000 | Total steps: 16-16-20 | Min: 0.10 | Avg: 0.11 | Max: 0.18
Iteration = 77000 | Total steps: 16-22-29 | Min: 0.10 | Avg: 0.91 | Max: 2.16
Iteration = 78000 | Total steps: 21-23-28 | Min: 0.29 | Avg: 0.99 | Max: 2.22
Iteration = 79000 | Total steps: 17-22-36 | Min: 0.15 | Avg: 0.87 | Max: 2.64
Iteration = 80000 | Total steps: 7-24-32 | Min: 0.33 | Avg: 1.23 | Max: 2.55
Iteration = 81000 | Total steps: 15-22-32 | Min: 0.20 | Avg: 5.43 | Max: 43.22 [CHECK POINT]
Iteration = 82000 | Total steps: 15-26-51 | Min: 0.21 | Avg: 1.50 | Max: 6.68
Iteration = 83000 | Total steps: 21-25-30 | Min: 0.30 | Avg: 1.10 | Max: 1.96
Iteration = 84000 | Total steps: 11-21-31 | Min: 0.53 | Avg: 0.94 | Max: 1.44
Iteration = 85000 | Total steps: 17-25-35 | Min: 0.15 | Avg: 1.36 | Max: 3.35
Iteration = 86000 | Total steps: 16-17-18 | Min: 0.10 | Avg: 0.26 | Max: 0.85
Iteration = 87000 | Total steps: 12-28-39 | Min: 0.66 | Avg: 1.56 | Max: 3.47
Iteration = 88000 | Total steps: 17-28-37 | Min: 0.53 | Avg: 1.38 | Max: 2.27
Iteration = 89000 | Total steps: 16-24-37 | Min: 0.10 | Avg: 0.68 | Max: 1.99
Iteration = 90000 | Total steps: 16-25-36 | Min: 0.29 | Avg: 0.97 | Max: 2.33
Iteration = 91000 | Total steps: 11-24-40 | Min: 0.10 | Avg: 1.06 | Max: 2.34
Iteration = 92000 | Total steps: 17-25-48 | Min: 0.15 | Avg: 4.12 | Max: 28.81
Iteration = 93000 | Total steps: 13-26-38 | Min: 0.48 | Avg: 1.95 | Max: 4.00
Iteration = 94000 | Total steps: 13-18-29 | Min: 0.10 | Avg: 0.62 | Max: 2.01
Iteration = 95000 | Total steps: 16-28-43 | Min: 0.10 | Avg: 1.60 | Max: 2.46
Iteration = 96000 | Total steps: 16-20-30 | Min: 0.10 | Avg: 0.48 | Max: 1.17
Iteration = 97000 | Total steps: 17-23-32 | Min: 0.15 | Avg: 0.93 | Max: 2.12
Iteration = 98000 | Total steps: 16-29-44 | Min: 0.10 | Avg: 2.05 | Max: 3.84
Iteration = 99000 | Total steps: 13-22-33 | Min: 0.10 | Avg: 1.29 | Max: 2.26
Iteration = 100000 | Total steps: 13-21-27 | Min: 0.25 | Avg: 1.17 | Max: 2.85
Iteration = 101000 | Total steps: 16-23-29 | Min: 0.10 | Avg: 1.06 | Max: 2.04
Iteration = 102000 | Total steps: 16-27-47 | Min: 0.10 | Avg: 1.86 | Max: 4.85
Iteration = 103000 | Total steps: 19-26-41 | Min: 0.47 | Avg: 1.56 | Max: 3.02
Iteration = 104000 | Total steps: 20-25-32 | Min: 0.30 | Avg: 1.49 | Max: 2.84
Iteration = 105000 | Total steps: 16-32-45 | Min: 0.10 | Avg: 2.15 | Max: 4.59
Iteration = 106000 | Total steps: 15-26-39 | Min: 0.28 | Avg: 1.63 | Max: 3.59
Iteration = 107000 | Total steps: 16-29-43 | Min: 0.10 | Avg: 1.59 | Max: 3.00
Iteration = 108000 | Total steps: 16-25-42 | Min: 0.10 | Avg: 1.32 | Max: 3.01
Iteration = 109000 | Total steps: 16-20-31 | Min: 0.10 | Avg: 0.57 | Max: 1.96
Iteration = 110000 | Total steps: 16-20-25 | Min: 0.10 | Avg: 0.66 | Max: 1.31
Iteration = 111000 | Total steps: 16-21-26 | Min: 0.10 | Avg: 0.46 | Max: 1.54
Iteration = 112000 | Total steps: 8-29-44 | Min: 0.33 | Avg: 1.95 | Max: 3.55
Iteration = 113000 | Total steps: 16-20-28 | Min: 0.10 | Avg: 0.97 | Max: 1.93
Iteration = 114000 | Total steps: 18-29-39 | Min: 0.23 | Avg: 1.96 | Max: 4.10
Iteration = 115000 | Total steps: 18-23-32 | Min: 0.54 | Avg: 1.37 | Max: 3.30
Iteration = 116000 | Total steps: 16-25-34 | Min: 0.10 | Avg: 1.23 | Max: 2.88
Iteration = 117000 | Total steps: 16-23-32 | Min: 0.10 | Avg: 2.32 | Max: 12.22
Iteration = 118000 | Total steps: 16-18-26 | Min: 0.10 | Avg: 0.45 | Max: 1.31
Iteration = 119000 | Total steps: 16-27-39 | Min: 0.18 | Avg: 1.86 | Max: 3.51
Iteration = 120000 | Total steps: 16-23-34 | Min: 0.10 | Avg: 0.82 | Max: 2.26
Iteration = 121000 | Total steps: 18-28-42 | Min: 0.53 | Avg: 7.93 | Max: 35.48 [CHECK POINT]
Iteration = 122000 | Total steps: 23-30-40 | Min: 0.38 | Avg: 1.91 | Max: 4.71
Iteration = 123000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 124000 | Total steps: 16-16-21 | Min: 0.10 | Avg: 0.11 | Max: 0.19
Iteration = 125000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 126000 | Total steps: 16-16-18 | Min: 0.10 | Avg: 0.13 | Max: 0.36
Iteration = 127000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 128000 | Total steps: 16-18-19 | Min: 0.10 | Avg: 0.57 | Max: 1.15
Iteration = 129000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 130000 | Total steps: 16-16-16 | Min: 0.10 | Avg: 0.10 | Max: 0.10
Iteration = 131000 | Total steps: 14-20-31 | Min: 0.10 | Avg: 0.37 | Max: 1.72
Iteration = 132000 | Total steps: 16-21-28 | Min: 0.10 | Avg: 0.40 | Max: 0.73
Iteration = 133000 | Total steps: 16-17-21 | Min: 0.10 | Avg: 0.21 | Max: 0.63
