Iteration = 63000 | Total steps: 21-37-68 | Min: 0.43 | Avg: 2.75 | Max: 6.07
Iteration = 64000 | Total steps: 21-34-63 | Min: 0.73 | Avg: 1.94 | Max: 4.66
Iteration = 65000 | Total steps: 18-33-61 | Min: 0.14 | Avg: 1.83 | Max: 4.79
Iteration = 66000 | Total steps: 15-36-64 | Min: 1.14 | Avg: 2.49 | Max: 5.73
Iteration = 67000 | Total steps: 15-28-47 | Min: 0.34 | Avg: 1.00 | Max: 1.94
Iteration = 68000 | Total steps: 13-35-53 | Min: 0.37 | Avg: 2.19 | Max: 3.51
Iteration = 69000 | Total steps: 18-31-44 | Min: 0.19 | Avg: 2.12 | Max: 5.38
Iteration = 70000 | Total steps: 19-35-65 | Min: 0.21 | Avg: 2.80 | Max: 6.41
Iteration = 71000 | Total steps: 10-36-79 | Min: 0.13 | Avg: 2.67 | Max: 10.44
Iteration = 72000 | Total steps: 22-34-51 | Min: 0.59 | Avg: 2.47 | Max: 4.31
Iteration = 73000 | Total steps: 16-22-38 | Min: 0.10 | Avg: 0.93 | Max: 2.52
Iteration = 74000 | Total steps: 22-31-43 | Min: 0.25 | Avg: 2.19 | Max: 3.93
Iteration = 75000 | Total steps: 18-37-67 | Min: 0.21 | Avg: 2.61 | Max: 5.96
Iteration = 76000 | Total steps: 21-26-32 | Min: 0.28 | Avg: 2.06 | Max: 3.76
Iteration = 77000 | Total steps: 19-36-56 | Min: 0.86 | Avg: 2.58 | Max: 4.65
Iteration = 78000 | Total steps: 10-23-42 | Min: 0.10 | Avg: 1.18 | Max: 4.38
Iteration = 79000 | Total steps: 17-26-41 | Min: 0.18 | Avg: 1.11 | Max: 2.33
Iteration = 80000 | Total steps: 12-36-60 | Min: 0.20 | Avg: 2.83 | Max: 6.53
Iteration = 81000 | Total steps: 16-32-55 | Min: 0.10 | Avg: 1.96 | Max: 4.06
Iteration = 82000 | Total steps: 16-23-35 | Min: 0.10 | Avg: 2.33 | Max: 16.43
Iteration = 83000 | Total steps: 16-26-34 | Min: 0.10 | Avg: 1.38 | Max: 2.86
Iteration = 84000 | Total steps: 16-35-55 | Min: 0.10 | Avg: 2.51 | Max: 5.45
Iteration = 85000 | Total steps: 26-46-79 | Min: 0.63 | Avg: 3.26 | Max: 6.56 [CHECK POINT]
Iteration = 86000 | Total steps: 10-29-48 | Min: 0.34 | Avg: 2.23 | Max: 4.02
Iteration = 87000 | Total steps: 16-29-45 | Min: 0.10 | Avg: 1.66 | Max: 3.67
Iteration = 88000 | Total steps: 16-29-41 | Min: 0.10 | Avg: 1.77 | Max: 4.04
Iteration = 89000 | Total steps: 20-33-53 | Min: 0.31 | Avg: 1.91 | Max: 3.41
Iteration = 90000 | Total steps: 18-28-45 | Min: 0.16 | Avg: 1.76 | Max: 3.35
Iteration = 91000 | Total steps: 19-36-65 | Min: 0.78 | Avg: 3.36 | Max: 6.16 [CHECK POINT]
Iteration = 92000 | Total steps: 18-42-68 | Min: 0.75 | Avg: 3.62 | Max: 8.26 [CHECK POINT]
Iteration = 93000 | Total steps: 19-27-39 | Min: 0.33 | Avg: 1.56 | Max: 3.99
Iteration = 94000 | Total steps: 16-23-31 | Min: 0.10 | Avg: 0.56 | Max: 1.92
Iteration = 95000 | Total steps: 10-28-56 | Min: 0.10 | Avg: 2.31 | Max: 7.64
Iteration = 96000 | Total steps: 24-34-51 | Min: 0.50 | Avg: 1.87 | Max: 3.62
Iteration = 97000 | Total steps: 13-40-64 | Min: 1.33 | Avg: 3.50 | Max: 5.83
Iteration = 98000 | Total steps: 22-41-64 | Min: 1.13 | Avg: 3.89 | Max: 15.06 [CHECK POINT]
Iteration = 99000 | Total steps: 18-31-57 | Min: 0.14 | Avg: 1.29 | Max: 2.78
Iteration = 100000 | Total steps: 16-37-64 | Min: 1.21 | Avg: 2.68 | Max: 5.51
