min,avg,max
30,56,84
20,33,59
25,46,73
16,41,73
35,53,79
24,39,76
24,41,60
16,32,52
18,46,94
25,49,67
17,47,76
17,23,36
18,41,83
17,27,42
16,41,72
21,45,68
17,39,70
16,31,64
26,48,83
32,50,80
19,47,85
19,43,77
18,48,77
16,39,75
20,30,52
17,26,39
20,29,46
23,42,60
23,50,79
16,40,93
21,36,64
17,58,105
17,28,49
16,46,94
16,20,25
21,34,63
20,41,72
22,48,87
21,59,99
19,41,71
23,47,73
17,45,62
16,19,26
18,31,57
18,42,68
16,24,34
26,51,89
19,53,87
19,27,45
25,50,71
26,58,102
27,52,85
19,54,98
21,39,96
16,34,62
16,51,93
16,27,47
18,33,65
23,50,81
16,29,43
16,31,53
24,61,97
19,46,101
18,36,74
20,38,67
21,41,56
29,58,87
21,29,58
16,35,81
18,44,72
17,27,51
16,35,70
50,68,88
16,43,76
16,23,34
16,44,85
20,47,89
16,26,36
16,34,59
16,32,72
16,31,75
23,57,91
22,55,80
19,56,99
16,38,97
24,39,59
17,32,68
21,42,77
29,59,82
26,47,74
29,65,98
23,45,83
16,26,85
22,40,65
20,53,83
19,54,91
16,33,74
16,42,76
16,41,76
18,45,82
18,50,80
16,34,64
16,37,63
30,51,79
30,47,71
22,47,79
17,23,36
26,48,77
16,44,75
30,58,78
19,50,71
24,51,79
18,29,74
28,56,92
16,32,63
22,39,77
16,30,66
16,51,73
16,52,76
17,33,55
26,52,78
17,51,105
25,60,92
31,48,70
16,42,81
20,43,73
24,47,77
16,34,54
28,54,92
16,22,41
18,49,69
21,35,78
30,50,76
25,54,99
18,26,42
20,50,74
16,31,50
16,44,92
19,40,78
16,31,48
28,59,104
24,46,76
23,49,71
17,30,56
16,26,55
28,53,76
29,50,80
16,28,50
22,47,63
29,58,85
22,34,62
21,45,63
28,35,49
30,54,86
22,42,64
16,34,62
25,54,80
16,23,38
16,46,85
23,53,82
27,47,78
24,38,57
22,43,96
16,47,87
19,41,74
24,44,101
23,43,71
16,49,98
31,49,73
16,34,60
24,38,55
18,49,92
16,38,63
26,49,75
24,32,48
21,53,99
16,24,38
29,45,72
21,37,59
16,45,85
16,31,82
25,43,60
22,56,85
16,32,54
16,36,64
21,37,63
16,31,65
18,40,65
16,28,62
16,38,56
16,40,75
17,37,65
23,54,91
23,35,78
16,41,75
20,48,77
22,40,75
17,43,69
16,48,82
20,33,56
18,38,64
17,36,80
16,41,72
40,68,98
22,42,74
37,54,77
22,41,58
16,29,63
16,30,44
28,54,94
24,56,89
26,50,71
22,29,39
24,55,88
25,51,81
28,41,60
18,44,74
22,40,58
40,54,83
22,39,62
20,47,111
17,34,69
25,49,71
20,53,89
21,54,99
20,44,72
28,43,77
28,47,74
35,63,84
16,35,97
26,63,126
16,31,53
20,43,77
16,37,69
16,42,66
26,59,85
22,47,95
16,27,41
16,39,61
16,39,70
16,44,94
26,56,91
25,46,72
26,48,93
16,39,114
33,62,108
17,52,92
16,37,98
28,47,83
22,40,75
20,56,102
23,36,67
16,20,32
26,53,114
22,41,64
22,51,87
40,53,86
16,25,44
16,36,96
16,45,82
31,53,92
18,34,52
22,61,90
18,40,76
16,57,92
17,37,72
16,39,58
16,41,63
19,39,74
17,47,83
17,55,100
18,51,137
20,43,79
16,37,62
29,61,91
24,43,66
23,36,58
28,50,93
22,53,93
18,33,59
24,48,85
18,51,89
27,48,96
21,42,75
18,43,101
20,48,96
17,28,68
16,26,39
22,45,71
20,29,44
16,56,83
16,43,114
26,48,75
21,44,86
27,44,95
31,54,82
22,49,110
22,57,91
32,53,102
16,38,92
21,43,78
18,47,87
16,32,58
30,51,85
18,53,88
16,34,54
19,32,63
27,54,89
17,40,93
52,68,95
32,55,100
24,60,102
26,47,80
16,38,72
27,48,67
21,48,76
16,49,104
27,39,69
21,50,84
36,48,63
22,64,147
17,41,77
17,50,82
16,23,36
19,47,69
16,41,97
22,61,96
27,51,81
17,48,79
16,25,43
16,35,78
21,48,70
24,47,85
16,38,110
16,26,48
25,49,77
16,41,70
28,47,111
16,39,82
23,51,92
16,32,74
16,31,66
17,52,83
19,41,65
18,32,54
16,50,94
27,53,73
19,56,101
21,46,85
